author_id,display_name,name_alternatives,n_name_alternatives,first_year,latest_year,career_length,works_count,n_distinct_institutions,top_institutions,n_topics_listed,top_topics,openalex_url,sample_freq,flagged
A5024431163,B. Krug,"[""B Krug"", ""B. Krug"", ""B.\u00a0Krug"", ""BARBARA KRUG"", ""Barbara Krug""]",6,1986,2025,39,128,10,"[""Landesinstitut f\u00fcr Arbeitsgestaltung des Landes Nordrhein-Westfalen"", ""Deutsche Forschungsgemeinschaft"", ""D\u00fcsseldorf University Hospital""]",5,"[""Advanced MRI Techniques and Applications"", ""MRI in cancer diagnosis"", ""Advanced X-ray and CT Imaging""]",https://openalex.org/A5024431163,1,False
A5103349893,Lewis Jones,"[""Lewis Jones"", ""Lewis R. Jones""]",2,1990,2023,33,23,4,"[""Royal Observatory in Greenwich"", ""London Metropolitan University"", ""Jet Propulsion Laboratory""]",5,"[""Astronomy and Astrophysical Research"", ""Astronomical Observations and Instrumentation"", ""Adaptive optics and wavefront sensing""]",https://openalex.org/A5103349893,2,False
A5063209659,A.F.S. Taylor,"[""A.F.S. Taylor"", ""Taylor, A.F.S.""]",2,2000,2026,26,370568,1,"[""James Hutton Institute""]",3,"[""Mycorrhizal Fungi and Plant Interactions"", ""Botany and Plant Ecology Studies"", ""Forest Ecology and Biodiversity Studies""]",https://openalex.org/A5063209659,19,False
A5042772981,纪敏,"[""\u7eaa\u654f""]",1,1987,2016,29,39,0,[],5,"[""Legal and Regulatory Analysis"", ""Linguistic, Cultural, and Literary Studies"", ""Military Technology and Strategies""]",https://openalex.org/A5042772981,1,False
A5084364688,F. van der Tak,"[""DER TAK, F. Van"", ""F van der Tak"", ""F. F. S. Van der Tak"", ""F. F. S. van der Tak"", ""F. Van der Tak""]",20,1972,2026,54,291,17,"[""University of Groningen"", ""Max Planck Institute for Radio Astronomy"", ""Leiden Observatory""]",5,"[""Astrophysics and Star Formation Studies"", ""Stellar, planetary, and galactic studies"", ""Molecular Spectroscopy and Structure""]",https://openalex.org/A5084364688,1,False
A5089478931,E. V. Ferapontov,"[""E V Ferapontov"", ""E. Ferapontov"", ""E. V. FERAPONTOV"", ""E. V. Ferapontov"", ""E.V Ferapontov""]",17,1989,2025,36,149,13,"[""Ufa Institute of Chemistry"", ""Keldysh Institute of Applied Mathematics"", ""Russian Academy of Sciences""]",5,"[""Nonlinear Waves and Solitons"", ""Geometric Analysis and Curvature Flows"", ""Geometry and complex manifolds""]",https://openalex.org/A5089478931,1,False
A5053326676,B. Kaune,"[""B Kaune"", ""B. Kaune"", ""Brigitte Kaune"", ""Kaune, B"", ""Kaune, B.""]",6,2014,2025,11,46,6,"[""Max Planck Institute for Gravitational Physics"", ""Istituto Nazionale di Fisica Nucleare, Trento Institute for Fundamental Physics And Applications"", ""Laser Zentrum Hannover""]",5,"[""Pulsars and Gravitational Waves Research"", ""Radio Astronomy Observations and Technology"", ""Geophysics and Gravity Measurements""]",https://openalex.org/A5053326676,1,False
A5100658586,Mingxing Wang,"[""Jan Lazur"", ""Ming-Xing Wang"", ""Ming-xing Wang"", ""Mingxing Wang"", ""Ming\u2010Xing Wang""]",5,2004,2026,22,128,56,"[""Nanjing Medical University"", ""Collaborative Research Group"", ""Anhui Medical University""]",5,"[""Fungal Biology and Applications"", ""Polysaccharides and Plant Cell Walls"", ""Pharmacological Effects of Natural Compounds""]",https://openalex.org/A5100658586,1,False
A5122080654,Karl-Henrik Larsson,"[""Karl-Henrik Larsson"", ""Larsson, Karl-Henrik""]",2,2024,2026,2,127205,0,[],0,[],https://openalex.org/A5122080654,6,False
A5040095739,Yves Schabes,"[""Schabes, Yves"", ""Y. Schabes"", ""Yves Schabes""]",3,1988,1997,9,55,6,"[""William Penn University"", ""University of Pennsylvania"", ""Mitsubishi Electric (United States)""]",5,"[""Natural Language Processing Techniques"", ""Topic Modeling"", ""semigroups and automata theory""]",https://openalex.org/A5040095739,1,False
A5076609351,Nayana Shenvi,"[""Nayana Shenvi""]",1,2014,2023,9,13,3,"[""Goa University"", ""Indian Institute of Technology Goa"", ""Innovative Research (United States)""]",5,"[""Ionosphere and magnetosphere dynamics"", ""Earthquake Detection and Analysis"", ""Geomagnetism and Paleomagnetism Studies""]",https://openalex.org/A5076609351,1,False
A5100688548,Zhiwei Wang,"[""Wang Zhi\u2010wei"", ""Wang, Zhiwei"", ""Zhi-wei Wang"", ""Zhiwei Wang"", ""Zhi\u2010wei Wang""]",5,2005,2025,20,30,19,"[""Huazhong University of Science and Technology"", ""Fujian Provincial Cancer Hospital"", ""Zhejiang University of Technology""]",5,"[""Mesenchymal stem cell research"", ""Analytical chemistry methods development"", ""Spinal Fractures and Fixation Techniques""]",https://openalex.org/A5100688548,1,False
A5061607428,Jonathan M. Burch,"[""Jonathan M. Burch""]",1,1990,1990,0,1,1,"[""Royal Institute and Observatory of the Spanish Navy""]",3,"[""Adaptive optics and wavefront sensing"", ""Astronomy and Astrophysical Research"", ""Astronomical Observations and Instrumentation""]",https://openalex.org/A5061607428,2,False
A5098258599,Kwanya Tom,"[""Kwanya Tom""]",1,2015,2015,0,1,1,"[""Technical University of Kenya""]",3,"[""Wikis in Education and Collaboration"", ""Education and Digital Technologies"", ""Web and Library Services""]",https://openalex.org/A5098258599,1,False
A5075879849,Daniela Horvat,"[""A Shinka"", ""D Horvat"", ""D. HORVAT"", ""D. Horvat"", ""Daniela HORVAT""]",8,1980,2025,45,210,5,"[""Agricultural Institute"", ""University of Osijek"", ""Agricultural Institute Osijek""]",5,"[""Wheat and Barley Genetics and Pathology"", ""Food composition and properties"", ""Agriculture, Plant Science, Crop Management""]",https://openalex.org/A5075879849,1,False
A5116608658,Raihan Ahnaf Nafisaputra,"[""Raihan Ahnaf Nafisaputra""]",1,2024,2024,0,1,1,"[""Politeknik Elektronika Negeri Surabaya""]",3,"[""Image Retrieval and Classification Techniques"", ""Digital Imaging for Blood Diseases"", ""Image Processing Techniques and Applications""]",https://openalex.org/A5116608658,1,False
A5004353237,Deva Ramanan,"[""D Ramanan"", ""D. Ramanan"", ""Deva Ramanan"", ""Ramanan"", ""Ramanan D""]",7,2002,2025,23,341,11,"[""Carnegie Mellon University"", ""University of Washington"", ""Perrigo (United States)""]",5,"[""Advanced Neural Network Applications"", ""Human Pose and Action Recognition"", ""Advanced Vision and Imaging""]",https://openalex.org/A5004353237,1,False
A5059950802,Chr. Beyreuther,"[""CHR. BEYREUTHER"", ""Chr Beyreuther"", ""Chr. Beyreuther""]",3,1974,1975,1,5,1,"[""Ludwig-Maximilians-Universit\u00e4t M\u00fcnchen""]",5,"[""Graphite, nuclear technology, radiation studies"", ""Graphene research and applications"", ""Semiconductor materials and interfaces""]",https://openalex.org/A5059950802,1,False
A5003860679,I. Girardi,"[""Girardi, Ivan"", ""I Girardi"", ""I. Girardi"", ""Ivan Girardi""]",4,2013,2022,9,19,5,"[""Kavli Institute for the Physics and Mathematics of the Universe"", ""Istituto Nazionale di Fisica Nucleare, Sezione di Trieste"", ""Bulgarian Academy of Sciences""]",5,"[""Particle physics theoretical and experimental studies"", ""Neutrino Physics Research"", ""Astrophysics and Cosmic Phenomena""]",https://openalex.org/A5003860679,1,False
A5022261369,Robert Shleser,"[""R. A. SHLESER"", ""R. A. Shleser"", ""R. Shleser"", ""R.A. Shleser"", ""ROBERT SHLESER""]",7,1963,1999,36,33,7,"[""Bay Institute"", ""Ocean Institute"", ""Purdue University West Lafayette""]",5,"[""Crustacean biology and ecology"", ""Aquaculture Nutrition and Growth"", ""Bacteriophages and microbial interactions""]",https://openalex.org/A5022261369,1,False
A5063865810,Ashari Ashari,"[""Ashari"", ""Ashari Ashari"", ""Dr. Ashari""]",3,2009,2025,16,22,6,"[""Bandung Institute of Technology"", ""Universitas Muhammadiyah Purworejo"", ""Diponegoro University""]",5,"[""STEM Education"", ""Educational Methods and Outcomes"", ""Educational Methods and Media Use""]",https://openalex.org/A5063865810,1,False
A5103978597,Jianzhong Gu,"[""Gu Jian-zhong"", ""Jian-zhong Gu"", ""Jianzhong Gu""]",3,1985,2023,38,25,5,"[""Shanghai Veterinary Research Institute"", ""Shanghai University"", ""Ludong University""]",5,"[""Distributed Control Multi-Agent Systems"", ""Adaptive Control of Nonlinear Systems"", ""Neural Networks Stability and Synchronization""]",https://openalex.org/A5103978597,1,False
A5052266764,O.O. Vasechko,"[""O.O. Vasechko"", ""Oleksii Vasechko"", ""\u041e\u043b\u0435\u043a\u0441\u0456\u0439 \u0412\u0410\u0421\u0415\u0427\u041a\u041e"", ""\u041e\u043b\u0435\u043a\u0441\u0456\u0439 \u0412\u0430\u0441\u0435\u0447\u043a\u043e"", ""\u041e\u043b\u0435\u043a\u0441\u0456\u0439 \u041e\u043b\u0435\u043a\u0441\u0456\u0439\u043e\u0432\u0438\u0447 \u0412\u0430\u0441\u0435\u0447\u043a\u043e""]",5,2017,2025,8,11,2,"[""National Academy of Sciences of Ukraine"", ""Weatherford College""]",5,"[""Legal and Regulatory Analysis"", ""Linguistic, Cultural, and Literary Studies"", ""Military Technology and Strategies""]",https://openalex.org/A5052266764,1,False
A5090632526,Darko Brodić,"[""Brodic, Darko"", ""Brodi\u0107, Darko"", ""Brodi\u0107, Darko M."", ""D Brodi\u0107"", ""D. BRODIC""]",9,2002,2020,18,131,3,"[""University of Belgrade"", ""Mining and Metallurgy Institute Bor"", ""Universidade Federal de Pernambuco""]",5,"[""Handwritten Text Recognition Techniques"", ""User Authentication and Security Systems"", ""Image Processing and 3D Reconstruction""]",https://openalex.org/A5090632526,1,False
A5106807948,Lianglin Li,"[""Lianglin Li""]",1,2024,2024,0,1,1,"[""Huazhong University of Science and Technology""]",3,"[""Electric Motor Design and Analysis"", ""Electromagnetic Launch and Propulsion Technology"", ""Induction Heating and Inverter Technology""]",https://openalex.org/A5106807948,1,False
A5011453693,Roy Paily,"[""Paily, Roy P"", ""R Paily"", ""R. P. Paily"", ""R. Paily"", ""R.P. Paily""]",11,2002,2026,24,207,7,"[""Indian Institute of Information Technology Guwahati"", ""Australian Regenerative Medicine Institute"", ""Indian Institute of Technology Guwahati""]",5,"[""Advancements in Semiconductor Devices and Circuit Design"", ""Semiconductor materials and devices"", ""Radio Frequency Integrated Circuit Design""]",https://openalex.org/A5011453693,1,False
A5066742852,Takaaki Ogata,"[""T. Ogata"", ""Takaaki OGATA"", ""Takaaki Ogata""]",3,1992,2017,25,52,1,"[""NEC (Japan)""]",5,"[""Optical Network Technologies"", ""Advanced Photonic Communication Systems"", ""Advanced Optical Network Technologies""]",https://openalex.org/A5066742852,2,False
A5040508972,Paul Korinko,"[""Korinko, P"", ""Korinko, Paul S.; Wyrwas, Richard B."", ""P Korinko"", ""P S Korinko"", ""P. Korinko""]",11,1990,2025,35,109,7,"[""National Technical Information Service"", ""Savannah River National Laboratory"", ""Office of Scientific and Technical Information""]",5,"[""Welding Techniques and Residual Stresses"", ""Nuclear Materials and Properties"", ""Hydrogen embrittlement and corrosion behaviors in metals""]",https://openalex.org/A5040508972,1,False
A5040507413,Antoine Deblais,"[""A. Deblais"", ""Antoine Deblais"", ""Deblais, A."", ""Deblais, Antoine""]",4,2015,2025,10,61,8,"[""Flanders Marine Institute"", ""Van der Waals-Zeeman Institute"", ""Unilever Foods Innovation Centre""]",5,"[""Fluid Dynamics and Heat Transfer"", ""Micro and Nano Robotics"", ""Pickering emulsions and particle stabilization""]",https://openalex.org/A5040507413,1,False
A5040554849,V. A. Buts,"[""Buts, V. A."", ""Buts, V.A."", ""Buts, Vyacheslav"", ""Buts, Vyacheslav A."", ""Buts, Vyacheslav Aleksandrovich""]",13,1968,2025,57,152,7,"[""Institute of Radio Astronomy"", ""National Science Centre"", ""V. N. Karazin Kharkiv National University""]",5,"[""Particle Accelerators and Free-Electron Lasers"", ""Gyrotron and Vacuum Electronics Research"", ""Particle accelerators and beam dynamics""]",https://openalex.org/A5040554849,1,False
A5018434214,Nelson José Laurino Dionello,"[""DIONELLO, N. J. L."", ""Dionello, Nelson Jos\u00e9 Laurino"", ""Dionello, N\u00e9lson Jos\u00e9 Laurino"", ""Dionello,Nelson Jos\u00e9 Laurino"", ""J.L. Dionello""]",15,1982,2021,39,120,10,"[""Funda\u00e7\u00e3o de Estudo e Pesquisa em Medicina Veterin\u00e1ria e Zootecnia"", ""Universidade Estadual de Londrina"", ""National Council for Scientific and Technological Development""]",5,"[""Genetic and phenotypic traits in livestock"", ""Animal Nutrition and Physiology"", ""Reproductive Physiology in Livestock""]",https://openalex.org/A5018434214,1,False
A5041719750,Denis E. Bergeron,"[""Bergeron, D. E."", ""Bergeron, Denis"", ""Bergeron, Denis E."", ""D Bergeron"", ""D E Bergeron""]",15,1985,2026,41,144,13,"[""Physical Measurement Laboratory"", ""Universit\u00e9 Bourgogne Franche-Comt\u00e9"", ""Textile Research Institute""]",5,"[""Radioactive Decay and Measurement Techniques"", ""Radioactivity and Radon Measurements"", ""Scientific Measurement and Uncertainty Evaluation""]",https://openalex.org/A5041719750,1,False
A5044171730,Didier Desponds,"[""Desponds, Didier"", ""Didier Desponds""]",2,2020,2025,5,9,3,"[""Equipes Traitement de l'Information et Syst\u00e8mes"", ""Laboratoire de G\u00e9ographie Physique"", ""CY Cergy Paris Universit\u00e9""]",5,"[""French Urban and Social Studies"", ""Urbanization and City Planning"", ""Urban Planning and Governance""]",https://openalex.org/A5044171730,1,False
A5076619737,Leonardo Alcântara Alves,"[""Alves, Leonardo"", ""Alves, Leonardo Alc\u00e2ntara"", ""L. A. ALVES"", ""L. A. F. ALVES"", ""L.A. ALVES""]",10,2007,2025,18,68,4,"[""Universidade Estadual de Campinas (UNICAMP)"", ""Universidade Federal Rural do Semi-\u00c1rido"", ""Universidade Federal do Cear\u00e1""]",5,"[""Science and Education Research"", ""Education Pedagogy and Practices"", ""Chemistry Education and Research""]",https://openalex.org/A5076619737,1,False
A5122922045,Urmas Kõljalg,"[""K\u00f5ljalg, Urmas"", ""Urmas K\u00f5ljalg""]",2,2024,2024,0,37846,0,[],0,[],https://openalex.org/A5122922045,4,False
A5082636856,Weihao Hu,"[""D Li"", ""Hu, Weihao"", ""Jiaxiang Hu"", ""W Hu"", ""W. Hu""]",14,2005,2025,20,517,44,"[""Science and Technology Department of Sichuan Province"", ""Guilin University of Aerospace Technology"", ""Rajasthan Technical University""]",5,"[""Microgrid Control and Optimization"", ""Smart Grid Energy Management"", ""Wind Turbine Control Systems""]",https://openalex.org/A5082636856,1,False
A5063297991,Cristiano De Michele,"[""C De Michele"", ""C. De Michele"", ""C. Michele"", ""C. de Michele"", ""CHRISTIANO DE MICHELE""]",8,1998,2025,27,95,14,"[""Institut de min\u00e9ralogie, de physique des mat\u00e9riaux et de cosmochimie"", ""Structural and Molecular Basis of Infectious Systems"", ""Aix-Marseille Universit\u00e9""]",5,"[""Material Dynamics and Properties"", ""Theoretical and Computational Physics"", ""Pickering emulsions and particle stabilization""]",https://openalex.org/A5063297991,1,False
A5071275856,Yigal Meir,"[""MEIR, Ygal"", ""Meir, Yigal"", ""Y Meir"", ""Y. Meir"", ""YIGAL MEIR""]",7,1983,2025,42,248,13,"[""Centre de Nanosciences et de Nanotechnologies"", ""Ben-Gurion University of the Negev"", ""Purdue University West Lafayette""]",5,"[""Quantum and electron transport phenomena"", ""Physics of Superconductivity and Magnetism"", ""Theoretical and Computational Physics""]",https://openalex.org/A5071275856,1,False
A5100364557,Lu Wang,"[""L WANG"", ""L. Wang"", ""Lu WANG"", ""Lu Wang"", ""Lu, Wang""]",8,2005,2025,20,159,73,"[""Henan University of Science and Technology"", ""Lanzhou City University"", ""National Archives and Records Administration""]",5,"[""Advancements in Battery Materials"", ""Advanced Battery Materials and Technologies"", ""Advanced battery technologies research""]",https://openalex.org/A5100364557,1,False
A5045652748,John F. Nagle,"[""J F Nagle"", ""J. F. NAGLE"", ""J. F. Nagle"", ""J. Nagle"", ""J.F. Nagle""]",14,1965,2025,60,260,20,"[""Yale University"", ""Carnegie Mellon University"", ""King's College London""]",5,"[""Lipid Membrane Structure and Behavior"", ""Spectroscopy and Quantum Chemical Studies"", ""Protein Structure and Dynamics""]",https://openalex.org/A5045652748,1,False
A5066400908,Kamal Alameh,"[""Alameh Kamal"", ""Alameh Kamal Alameh Kamal"", ""Alameh, K"", ""Alameh, K."", ""Alameh, Kamal""]",15,1990,2024,34,511,17,"[""University of Sydney"", ""Bridge University"", ""Vision Cooperative Research Centre""]",5,"[""Photonic and Optical Devices"", ""Optical Network Technologies"", ""Advanced Photonic Communication Systems""]",https://openalex.org/A5066400908,1,False
A5091171575,大介 山田,"[""\u5927\u4ecb \u5c71\u7530"", ""\u5c71\u7530, \u5927\u4ecb""]",2,1975,2026,51,118,1,"[""Aomori High School""]",5,"[""Legal and Regulatory Analysis"", ""Linguistic, Cultural, and Literary Studies"", ""Military Technology and Strategies""]",https://openalex.org/A5091171575,1,False
A5055048614,Madhuri A. Chaudhari,"[""CHAUDHARI, Madhuri"", ""M A Chaudhari"", ""M. A. Chaudhari"", ""M.A. Chaudhari"", ""Madhuri A Chaudhari""]",11,2004,2026,22,98,5,"[""Nagpur Institute of Technology"", ""Dr. Babasaheb Ambedkar Technological University"", ""Visvesvaraya National Institute of Technology""]",5,"[""Multilevel Inverters and Converters"", ""Advanced DC-DC Converters"", ""Microgrid Control and Optimization""]",https://openalex.org/A5055048614,1,False
A5037491546,Julia Pawłowska,"[""J Paw\u0142owska"", ""J. Paw\u0142owska"", ""Julia Pawlowska"", ""Julia Paw\u0142owska"", ""Julia Z. Paw\u0142owska""]",6,1953,2026,73,370697,12,"[""Russian Respiratory Society"", ""Naturalis Biodiversity Center"", ""British Mycological Society""]",5,"[""Mycorrhizal Fungi and Plant Interactions"", ""Plant Pathogens and Fungal Diseases"", ""Agriculture, Plant Science, Crop Management""]",https://openalex.org/A5037491546,19,True
A5078329141,白晓颖,"[""\u767d\u6653\u9896""]",1,2005,2005,0,1,0,[],3,"[""Service-Oriented Architecture and Web Services"", ""Software Testing and Debugging Techniques"", ""Software System Performance and Reliability""]",https://openalex.org/A5078329141,1,False
A5067516015,Sonali A. Tinkhede,"[""Sonali A. Tinkhede""]",1,2015,2015,0,1,0,[],3,"[""Advanced Database Systems and Queries"", ""Data Management and Algorithms"", ""Data Quality and Management""]",https://openalex.org/A5067516015,1,False
A5060281655,Mindy Hochgesang,"[""Hochgesang, Mindy"", ""M Hochgesang"", ""M S Hochgesang"", ""Mindy Hochgesang""]",4,2005,2019,14,20,3,"[""Africa Centres for Disease Control and Prevention"", ""Centers for Disease Control and Prevention"", ""International Centre for Reproductive Health""]",5,"[""HIV/AIDS Research and Interventions"", ""HIV/AIDS Impact and Responses"", ""Global Maternal and Child Health""]",https://openalex.org/A5060281655,1,False
A5110193178,Wolfgang Krueger,"[""Wolfgang Krueger""]",1,1988,2023,35,13,1,"[""Institut f\u00fcr Informationsverarbeitung""]",5,"[""Computer Graphics and Visualization Techniques"", ""Data Visualization and Analytics"", ""Infrared Target Detection Methodologies""]",https://openalex.org/A5110193178,1,False
A5108580606,Kessy Abarenkov,"[""Abarenkov, Kessy"", ""Kessy Abarenkov""]",2,2016,2026,10,141373,1,"[""University of Tartu Natural History Museum and Botanical Garden""]",3,"[""Mycorrhizal Fungi and Plant Interactions"", ""Plant Pathogens and Fungal Diseases"", ""Yeasts and Rust Fungi Studies""]",https://openalex.org/A5108580606,7,False
A5121986994,Karl-Henrik Larsson,"[""Karl-Henrik Larsson"", ""Larsson, Karl-Henrik""]",2,2024,2024,0,14167,0,[],0,[],https://openalex.org/A5121986994,1,False
A5129562738,Ivana Sestak,"[""Ivana Sestak"", ""Sestak, Ivana""]",2,2015,2015,0,22,0,[],5,"[""Breast Cancer Treatment Studies"", ""BRCA gene mutations in cancer"", ""Breast Lesions and Carcinomas""]",https://openalex.org/A5129562738,1,False
A5115602506,Liang Wang,"[""Cheng, Ming-Ming"", ""Jiacheng Lin"", ""L WANG"", ""L Wang"", ""L. Wang""]",15,1993,2026,33,1166,328,"[""Monash University"", ""Beijing Academy of Artificial Intelligence"", ""Beijing Jiaotong University""]",5,"[""Human Pose and Action Recognition"", ""Video Surveillance and Tracking Methods"", ""Multimodal Machine Learning Applications""]",https://openalex.org/A5115602506,1,False
A5112196285,Rezica Sudar,"[""R. Sudar"", ""Rezica SUDAR"", ""Rezica Sudar"", ""Sudar, Rezica""]",4,1979,2018,39,121,2,"[""Agricultural Institute"", ""Agricultural Institute Osijek""]",5,"[""Soybean genetics and cultivation"", ""Wheat and Barley Genetics and Pathology"", ""Crop Yield and Soil Fertility""]",https://openalex.org/A5112196285,1,False
A5101744518,S. Fujita,"[""FUJITA Shinji"", ""Fujita, S."", ""Fujita, Shinji"", ""S Fujita"", ""S. FUJITA""]",8,1982,2025,43,168,25,"[""Hachinohe Institute of Technology"", ""Tohoku Medical and Pharmaceutical University"", ""Kyushu University""]",5,"[""Physics of Superconductivity and Magnetism"", ""Superconducting Materials and Applications"", ""Photonic and Optical Devices""]",https://openalex.org/A5101744518,1,False
A5008041465,Anand K. Jha,"[""A. K. Jha"", ""Anand  Kumar Jha"", ""Anand Jha"", ""Anand K Jha"", ""Anand K. Jha""]",9,2005,2026,21,108,15,"[""Bir Hospital"", ""Nagpur Institute of Technology"", ""Schlumberger (British Virgin Islands)""]",5,"[""Quantum Information and Cryptography"", ""Orbital Angular Momentum in Optics"", ""Quantum Mechanics and Applications""]",https://openalex.org/A5008041465,2,False
A5077966833,Shiv N. Khanna,"[""Khanna, S"", ""Khanna, S.N."", ""Khanna, Shiv N"", ""Khanna, Shiv N."", ""S N Khanna""]",16,1962,2025,63,476,17,"[""Michigan Technological University"", ""Northeastern University"", ""Harish-Chandra Research Institute""]",5,"[""Advanced Chemical Physics Studies"", ""Nanocluster Synthesis and Applications"", ""Catalytic Processes in Materials Science""]",https://openalex.org/A5077966833,1,True
A5037052967,G. Sivavaraprasad,"[""G Sivavaraprasad"", ""G. Sivavaraprasad"", ""Gampala Sivavaraprasad"", ""Sivavaraprasad Gampala""]",4,2015,2023,8,25,1,"[""Koneru Lakshmaiah Education Foundation""]",5,"[""Ionosphere and magnetosphere dynamics"", ""GNSS positioning and interference"", ""Earthquake Detection and Analysis""]",https://openalex.org/A5037052967,2,False
A5093771527,Daniel Mackner,"[""Daniel Mackner"", ""Mackner, Daniel""]",2,2023,2025,2,13,1,"[""Graz University of Technology""]",5,"[""Medical Imaging Techniques and Applications"", ""Advanced MRI Techniques and Applications"", ""Statistical Methods and Inference""]",https://openalex.org/A5093771527,1,False
A5053265608,Tatiana R. Shmeleva,"[""Shmeleva, Tatiana"", ""T. R. Shmeleva"", ""T.R. Shmeleva"", ""Tatiana R. Shmeleva"", ""Tatiana Shmeleva""]",5,2006,2025,19,55,12,"[""Universit\u00e9 C\u00f4te d'Azur"", ""Italian Institute of Telemedicine"", ""Laboratoire d'Informatique, Signaux et Syst\u00e8mes de Sophia Antipolis""]",5,"[""Petri Nets in System Modeling"", ""Distributed systems and fault tolerance"", ""Formal Methods in Verification""]",https://openalex.org/A5053265608,1,False
A5110290987,Marina Isabel Mateus de Almeida,"[""M. I. M. ALMEIDA"", ""M. I. M. Almeida"", ""M.I.M. ALMEIDA"", ""Marina I. M. Almeida"", ""Marina I. M. de Almeida""]",6,2002,2014,12,15,2,"[""Universidade Estadual Paulista (Unesp)"", ""Universidade Federal do Paran\u00e1""]",5,"[""Animal Nutrition and Physiology"", ""Livestock and Poultry Management"", ""Environmental Toxicology and Ecotoxicology""]",https://openalex.org/A5110290987,1,False
A5090861882,Saeful Mujab,"[""Saeful - Mujab"", ""Saeful Mujab""]",2,2003,2025,22,30,1,"[""Universitas Bhayangkara Jakarta Raya""]",5,"[""Islamic Finance and Communication"", ""SMEs Development and Digital Marketing"", ""COVID-19 Prevention and Impact""]",https://openalex.org/A5090861882,1,False
A5100804345,Huihuang Zhong,"[""Hui-Huang Zhong"", ""Hui-huang Zhong"", ""Huihuang ZHONG"", ""Huihuang Zhong"", ""Zhong Hui-Huang""]",5,1986,2021,35,125,6,"[""National University"", ""Naval University of Engineering"", ""University of Defence""]",5,"[""Gyrotron and Vacuum Electronics Research"", ""Pulsed Power Technology Applications"", ""Microwave Engineering and Waveguides""]",https://openalex.org/A5100804345,1,False
A5043389236,Vijay B. Borghate,"[""Borghate V B"", ""V. B. Borghate"", ""V. Borghate"", ""V.B. BORGHATE"", ""V.B. Borghate""]",11,2006,2026,20,115,4,"[""SRKR Engineering College"", ""Visvesvaraya National Institute of Technology"", ""Nagpur Institute of Technology""]",5,"[""Multilevel Inverters and Converters"", ""Silicon Carbide Semiconductor Technologies"", ""Advanced DC-DC Converters""]",https://openalex.org/A5043389236,1,False
